lsoa,names,lone_parent_household,young_pepople_percent,ethnic_black,tenure_mortgage_loan,tenure_social,no_qualifications,level_4_qualifications_above,no_cars,cars_per_household,median_annual_household_income,ptal_average,cluster_id
E01000653,Bromley 016D,6.9,0.12,2.1,32.1,10.4,16.3,39.8,13.2,1.5,52410.00 ,2,2
E01000678,Bromley 016E,9.6,0.17,5,41,6.8,13.2,39.2,18.9,1.2,43118.00 ,3.1,2
E01000670,Bromley 018A,9.6,0.17,5,29.9,9.7,7.8,49.7,27,1.1,50462.00 ,5.9,1
E01000675,Bromley 018B,8.4,0.2,6.1,33.5,3.6,10.3,44.7,28.1,1,43611.00 ,5.3,1
E01000677,Bromley 018C,11.8,0.16,5.6,44,4,9.7,44.9,27.1,0.9,38614.00 ,3.4,0
E01000762,Bromley 018D,7.5,0.16,2.2,37.7,2.2,13.1,39.5,16.6,1.2,41621.00 ,2.2,2
E01000829,Bromley 018E,8.4,0.15,4.6,40.6,6,11.9,41.9,23.4,1,43729.00 ,4.9,1
E01000719,Bromley 019A,17.6,0.19,10.5,34,24.9,23.5,20.5,29.1,0.9,27124.00 ,2.1,2
E01000720,Bromley 019B,20.4,0.18,11.9,35.5,32.8,29.9,19.9,29.5,1,24703.00 ,0.9,2
E01000721,Bromley 019C,24.8,0.18,12.1,23.3,57.4,33.2,14,41.8,0.8,22367.00 ,1.2,2
E01000724,Bromley 019D,25.7,0.21,15.5,25.5,56.5,34,16.8,40.5,0.9,23817.00 ,1.6,2
E01000728,Bromley 019E,15.4,0.14,6.3,34.7,17.5,33.4,18.1,24.8,1.1,29148.00 ,1,2
E01000651,Bromley 020A,5.9,0.13,1.3,41.5,11.3,18.4,37.1,18.1,1.2,46179.00 ,3,0
E01000668,Bromley 020B,11.1,0.15,3,45.4,8,16.1,34.8,21.1,1.1,35841.00 ,2.8,0
E01000669,Bromley 020C,11.9,0.13,3,48,6.1,16.8,34,23,1,35593.00 ,3,0
E01000671,Bromley 020D,7.8,0.17,4.6,35.3,12.4,16.7,35.2,30.9,1,35075.00 ,3.7,0
E01000679,Bromley 020E,13.3,0.15,4.4,53.3,2.9,15.1,32.9,18.7,1.2,38839.00 ,2.4,0
