lsoa,names,lone_parent_household,young_pepople_percent,ethnic_black,tenure_mortgage_loan,tenure_social,no_qualifications,level_4_qualifications_above,no_cars,cars_per_household,median_annual_household_income,ptal_average,cluster_id
E01002759,Islington 002D,10.5,0.23,9.5,30.8,25.5,15.2,52.9,48,0.6,48194.00 ,5.2,1
E01002760,Islington 002E,24.6,0.23,22.2,16.5,58.6,25,29,65,0.4,27241.00 ,3.7,0
E01002772,Islington 002F,13.8,0.29,14.7,20.9,34,15.1,49.7,68,0.4,33104.00 ,7,1
E01002735,Islington 003A,12.7,0.28,18.5,11.6,37.5,14.4,48.2,73.1,0.3,31782.00 ,7.7,1
E01002805,Islington 003B,11.2,0.33,12.5,14.9,27.3,12.9,55.3,69.1,0.4,35735.00 ,6.1,1
E01002806,Islington 003C,12.2,0.24,15.5,26.1,35.4,14.2,53,56.9,0.5,40286.00 ,4.9,0
E01002808,Islington 003D,15.4,0.27,11.2,23.5,30.5,17.1,48.1,61.1,0.5,35513.00 ,3.9,0
E01002809,Islington 003E,15.3,0.28,12.6,21.1,37.1,15,44.1,63.6,0.4,32954.00 ,5,1
E01002810,Islington 003F,15.9,0.22,20.9,19.8,48.8,20.2,41.6,66.4,0.4,32488.00 ,4.6,1
E01002768,Islington 004A,12.7,0.21,8.7,15,50.9,17.8,45.5,64.4,0.4,34648.00 ,4.9,1
E01002770,Islington 004B,11.1,0.26,11.5,21.7,27.9,14.5,52.9,63.6,0.4,40940.00 ,6.8,1
E01002771,Islington 004C,16.1,0.22,14.5,14.9,47.2,14.8,48.5,58.1,0.5,35546.00 ,5.9,1
E01002773,Islington 004D,15.4,0.21,17.1,11.9,66.7,32.2,27.9,73.7,0.3,24396.00 ,6.6,1
E01002774,Islington 004E,13.7,0.27,11.9,15.9,45.8,16.8,47.6,63.3,0.4,34645.00 ,6.5,1
E01002732,Islington 005A,17.9,0.25,25.9,10.4,63.3,24.3,34.9,70.6,0.3,27332.00 ,7.5,1
E01002734,Islington 005B,23.7,0.28,31.5,3.4,57.6,23.9,28.3,77.6,0.3,23014.00 ,8,1
E01002736,Islington 005C,19.7,0.18,28,7.4,75.6,40.8,22.4,66.7,0.4,24547.00 ,6.2,1
E01002737,Islington 005D,24.2,0.24,26.7,10,62.6,28.6,29.8,66.5,0.4,25693.00 ,4.6,0
E01002751,Islington 005E,16.4,0.26,26.3,9.1,63.3,21.6,33.4,70.6,0.3,27887.00 ,7.1,1
E01002742,Islington 006A,7.3,0.24,6.2,29,16.9,10.4,67.6,47.6,0.6,59929.00 ,4.4,0
E01002747,Islington 006B,9.6,0.3,8.3,23.7,20.4,11.4,57.9,56.3,0.5,52153.00 ,7.2,1
E01002748,Islington 006C,15.6,0.25,23.4,14.5,47.2,18.8,44.9,66.7,0.4,31667.00 ,7.2,1
E01002749,Islington 006D,20,0.23,16.2,21.9,44.6,17.2,48.3,56.9,0.5,37185.00 ,5.6,1
E01033493,Islington 006F,3,0.47,3.5,13.4,4.3,2.7,80.4,60.2,0.5,60440.00 ,4.5,0
E01033494,Islington 006G,7,0.28,8.6,28.1,20.3,9.5,63.5,50.3,0.6,56716.00 ,5,0
E01002730,Islington 007A,11.3,0.36,10.8,16.7,26.5,15.7,48.1,70.3,0.4,33146.00 ,7.2,1
E01002731,Islington 007B,8.8,0.36,10.5,22.2,21,12.8,53.7,70.1,0.3,34575.00 ,6.4,1
E01002733,Islington 007C,10.9,0.33,8.5,28.1,16.2,11.2,60.6,55.5,0.5,46806.00 ,5.1,1
E01002763,Islington 007D,7.3,0.38,10.5,13.8,42.5,19.8,37.5,70.3,0.3,30041.00 ,6.9,1
E01002769,Islington 008A,7.6,0.34,5.3,22.4,32.9,10.7,51.3,56.8,0.5,44522.00 ,4.4,0
E01002785,Islington 008B,11.4,0.21,8.4,23.2,25.2,14.2,54.7,52.9,0.6,48267.00 ,4.5,0
E01002788,Islington 008C,9.2,0.25,6.5,26.6,24.2,9.7,60.9,60.9,0.5,46706.00 ,3.9,0
E01002789,Islington 008D,7.5,0.21,4.8,31.7,16.9,7,67.9,43.2,0.7,59910.00 ,4.5,0
E01002738,Islington 009A,9.9,0.2,10.3,20.6,34.4,14.4,57.3,57.7,0.5,46717.00 ,4.7,0
E01002741,Islington 009B,20,0.26,19.4,14,57.3,23.5,34.9,64.8,0.4,27302.00 ,3.4,0
E01002743,Islington 009C,13.4,0.24,15,22,34.4,16.4,53.8,61,0.5,40460.00 ,3.2,0
E01002744,Islington 009D,6.6,0.21,7.7,25.8,35.3,13.4,59.6,59.8,0.5,48120.00 ,3.4,0
E01002752,Islington 009E,16.4,0.23,13.5,22.6,47.8,17.9,50.2,58.5,0.5,38186.00 ,4.2,0
E01002764,Islington 010A,15.2,0.27,12.2,16.5,45.6,21.5,42.6,66.8,0.4,30746.00 ,5.3,1
E01002783,Islington 010B,15.3,0.26,15.1,15.2,53.8,24.8,36.3,74.8,0.3,28524.00 ,4.2,0
E01002784,Islington 010C,17.1,0.24,18.2,15.8,51.5,22.9,36.7,63.3,0.4,29960.00 ,4.1,0
E01002786,Islington 010D,13.5,0.28,19.9,13.5,50.5,20,42.6,69.1,0.3,29531.00 ,5.6,1
E01002787,Islington 010E,15.2,0.35,15.6,13,53.8,19.9,33.5,68.2,0.4,30038.00 ,5,1
E01002762,Islington 011C,9.3,0.34,7.5,21.6,27.7,12.6,57.1,61.2,0.4,42726.00 ,6.1,1
E01002767,Islington 011D,18.4,0.29,14.6,16.7,50,23.2,37,67.5,0.4,29936.00 ,6.5,1
E01033486,Islington 011E,18.8,0.32,15.1,16.7,50.1,21,43.8,64.2,0.4,32015.00 ,6.4,1
E01033487,Islington 011F,7.1,0.38,10.8,15.8,19.5,3.8,70.4,72.6,0.3,45876.00 ,5.7,1
E01033488,Islington 011G,13.1,0.34,15,12.4,57.6,17.4,47.4,75.2,0.3,32355.00 ,6.1,1
E01033491,Islington 011H,8.9,0.35,12.2,13.5,28.5,12.6,53.5,76.5,0.3,34127.00 ,6.6,1
E01033492,Islington 011I,7.4,0.4,10.5,9,25.3,3.6,73.8,67.2,0.4,49761.00 ,5.1,1
E01002777,Islington 012A,8.6,0.27,9.6,22.2,39.7,14.2,54.2,68.1,0.4,40528.00 ,6.7,1
E01002778,Islington 012B,23.1,0.26,23.7,10.9,65,26,32.1,72,0.3,25042.00 ,6.7,1
E01002779,Islington 012C,10.6,0.34,7.4,23.2,30.9,9.4,61.7,60.2,0.4,43804.00 ,4.9,1
E01002781,Islington 012D,15.2,0.26,22,17.2,56.7,21.9,41,65.7,0.4,33298.00 ,5,1
E01002782,Islington 012E,23.5,0.21,29.6,11.5,66.7,27.6,30.5,69.3,0.3,26679.00 ,5.8,1
E01002739,Islington 013A,8.6,0.24,5.6,25,26.8,10.5,63,53.8,0.5,56499.00 ,5.9,1
E01002740,Islington 013B,6.8,0.23,5,24.2,15.6,7.2,70.9,50,0.6,63800.00 ,7,1
E01002745,Islington 013C,9.3,0.23,6.3,26.6,29.4,10.9,59.1,54.3,0.6,51029.00 ,3.7,0
E01002795,Islington 013D,12.6,0.29,13.4,16.5,37.2,15.3,52.7,66.3,0.4,39801.00 ,7,1
E01002796,Islington 013E,7.7,0.27,6.1,17.5,39.3,15.3,55.9,58.9,0.5,46245.00 ,6.6,1
E01002716,Islington 014A,20.5,0.27,15,11.6,56.9,23.8,40.2,69,0.3,29485.00 ,6.9,1
E01002718,Islington 014B,5.6,0.28,5.3,21,23,10.6,62.2,57.6,0.5,54572.00 ,6.2,1
E01002721,Islington 014C,16.7,0.22,7.8,21.8,47.9,19.8,49.3,62,0.4,38237.00 ,5.4,1
E01002775,Islington 014D,8.3,0.29,7.6,23.7,31.2,10.9,62.2,61.3,0.5,48489.00 ,6.7,1
E01002776,Islington 014E,16.9,0.26,13.7,19.3,46.1,19.4,49.6,65.5,0.4,35147.00 ,6.9,1
E01002780,Islington 014F,12.8,0.22,12.3,22.7,46.1,14,52,63.7,0.4,40602.00 ,5.9,1
E01002708,Islington 015A,14.1,0.38,11,13.7,39.9,18.3,37.8,67.2,0.4,29175.00 ,3.6,0
E01002712,Islington 015B,13.3,0.37,13.8,19.1,34.4,24.1,30.1,63.2,0.4,33922.00 ,5.6,1
E01002713,Islington 015C,15.4,0.22,16.5,10.5,67,34.2,24,73.4,0.3,25555.00 ,5.7,1
E01002765,Islington 015D,20.7,0.36,17.4,8.4,56,20.6,35.9,69.1,0.4,27012.00 ,6,1
E01002766,Islington 015E,17.1,0.32,19.7,6.8,65.2,25.5,28.1,72.1,0.3,24692.00 ,4.6,1
E01002717,Islington 016A,10,0.24,9.7,18.6,36.8,15.4,54.4,51.9,0.6,46094.00 ,6.8,1
E01002719,Islington 016B,10.2,0.21,5.3,22.4,28,12.3,61.3,51.8,0.6,54462.00 ,7,1
E01002720,Islington 016C,26.9,0.25,19.3,8.8,67.7,24.2,32,70,0.3,27242.00 ,6.7,1
E01002790,Islington 016D,16.3,0.23,13.9,5,74.6,26.6,36.5,69.5,0.3,30671.00 ,6.7,1
E01002791,Islington 016E,8.9,0.24,5,18.2,28.9,14.1,57.8,58.8,0.5,53326.00 ,7.1,1
E01002793,Islington 016F,16.9,0.3,10.3,12.4,53.5,19.6,49.8,72.4,0.3,35109.00 ,7,1
E01002698,Islington 017A,9.4,0.3,8.2,24.4,30.1,10.6,61,61.5,0.5,47477.00 ,5.8,1
E01002699,Islington 017B,7.5,0.25,4.2,19.4,36.1,13.6,58.4,53.3,0.5,52338.00 ,4.8,1
E01002700,Islington 017C,5,0.21,2.4,26.7,12.8,8.1,67.5,37.5,0.8,75640.00 ,3.5,0
E01002714,Islington 017D,8,0.29,4.5,22.3,18.3,7.3,65.6,55.1,0.5,56752.00 ,4.7,0
E01002792,Islington 017E,9.1,0.29,6.7,18.2,28.5,9.6,62.7,61,0.5,53557.00 ,6.5,1
E01002722,Islington 018A,17.8,0.23,11,12.1,59.7,25.5,38,66.6,0.4,31140.00 ,6.1,1
E01002797,Islington 018B,16.3,0.33,10.9,15.1,52.1,21.2,44.7,66.4,0.4,33182.00 ,6,1
E01002798,Islington 018C,7.9,0.23,5.4,30.9,25.6,15,59.6,49.3,0.6,53817.00 ,3.6,0
E01002799,Islington 018D,19.4,0.24,15.5,13.4,59.2,23.4,38.8,72.4,0.3,30992.00 ,5.9,1
E01002800,Islington 018E,24.6,0.23,18.4,6.9,77.5,31.9,25.3,66.9,0.4,25628.00 ,3.1,0
E01002694,Islington 019A,23.9,0.26,17.3,7.9,69.4,29.2,30.3,71.6,0.3,26707.00 ,5,1
E01002697,Islington 019B,17.6,0.44,16.5,6.1,65.4,20.9,29.4,74.2,0.3,25632.00 ,7.9,1
E01002709,Islington 019C,15.7,0.35,13.1,8.5,52.6,25.7,34.4,69.4,0.4,28959.00 ,4.7,0
E01002710,Islington 019D,17.7,0.25,18,14.4,58.6,26.8,34,58.5,0.5,30475.00 ,5.9,1
E01002715,Islington 019E,18.8,0.31,20,7.9,60.7,25.7,29.5,76.7,0.3,24456.00 ,3.8,0
E01002696,Islington 020A,10.4,0.26,4.8,20.9,26.9,12.5,61.3,63.1,0.4,53155.00 ,5.1,1
E01002794,Islington 020B,7.7,0.3,6.5,13.2,30.7,10.1,62.8,65.9,0.4,50851.00 ,6.3,1
E01002801,Islington 020C,7.9,0.26,6.8,19.4,27.5,10.3,64.9,61.2,0.5,59919.00 ,6.8,1
E01002802,Islington 020D,9.5,0.25,3.7,22.8,23.7,11.7,65.2,54.8,0.5,56756.00 ,4.7,1
E01002803,Islington 020E,9,0.34,5.8,19.1,32.7,14,60.3,61.6,0.5,44983.00 ,6.3,1
E01002695,Islington 021A,6.4,0.33,8.8,13.5,35.6,20.7,52.6,74.5,0.3,34441.00 ,6.7,1
E01002711,Islington 021B,9.2,0.35,10.3,14.2,29.7,10.6,52.2,73.8,0.3,37518.00 ,8,1
E01002727,Islington 021C,12.3,0.23,7,17.6,39,15.3,53.9,67.6,0.4,43271.00 ,6.8,1
E01002728,Islington 021D,12.6,0.53,11.4,13.6,49.5,9.9,43.9,71.9,0.3,32007.00 ,7.7,1
E01002729,Islington 021E,8.8,0.23,8.3,17.7,38.6,18.4,50,56.1,0.5,47283.00 ,6.6,1
E01002707,Islington 022B,9.4,0.38,8.8,12,42.8,15.9,52.9,78.4,0.3,35285.00 ,6.6,1
E01002723,Islington 022C,12.4,0.31,12.7,11.5,54.3,22.3,37.6,75.5,0.3,29790.00 ,6.5,1
E01002724,Islington 022D,4.5,0.37,4.4,22.8,20.8,7.4,57.7,63.8,0.4,58136.00 ,7.5,1
E01002725,Islington 022E,16.3,0.37,12.2,11.9,67.5,19.9,35.6,72.6,0.3,29917.00 ,6,1
E01002726,Islington 022F,11.5,0.25,10.9,14.7,42.5,16.5,51.1,71.3,0.3,37328.00 ,6.7,1
E01033489,Islington 022G,3.9,0.52,3.4,24.5,10.4,2.3,53.3,66.5,0.4,52722.00 ,7,1
E01033490,Islington 022H,9.2,0.51,8.4,12.8,31.2,11.1,56.6,76.2,0.3,35434.00 ,7.3,1
E01002701,Islington 023A,13.8,0.29,13.5,10.3,63.8,23.1,40.1,76.5,0.3,30924.00 ,7,1
E01002702,Islington 023B,17.4,0.37,16.2,6.8,60.6,18.8,39.7,76.2,0.3,30281.00 ,6.3,1
E01002703,Islington 023C,15.2,0.32,14.6,11,56.6,18.7,36.6,72.5,0.3,29330.00 ,6.8,1
E01002704,Islington 023D,10.2,0.33,15.2,13,52.3,18.2,40.9,74.8,0.3,37054.00 ,7.9,1
E01002706,Islington 023E,16.3,0.27,11.9,10.7,56.5,20.3,40.8,71.5,0.3,32202.00 ,7.5,1
E01002852,Kensington and Chelsea 001A,17.9,0.2,25.3,6.4,64.7,22.4,30,71.3,0.3,22478.00 ,4.6,1
E01002853,Kensington and Chelsea 001B,18.9,0.23,23.7,2.8,80.9,30.3,24.3,68.9,0.4,22790.00 ,4.8,1
E01002854,Kensington and Chelsea 001C,21.1,0.18,24,9.6,74.6,24.6,26.6,67.2,0.4,22249.00 ,4.3,0
E01002855,Kensington and Chelsea 001D,16.4,0.22,24.1,8.5,70.5,23.5,32.6,66.9,0.4,24377.00 ,4.2,0
E01002857,Kensington and Chelsea 001E,24.1,0.21,24.6,4,86.9,26.2,21.1,69.7,0.3,17879.00 ,3.4,0
E01002904,Kensington and Chelsea 002A,23.9,0.23,23.4,0.8,89.9,25.3,21,62.4,0.4,20507.00 ,2.6,2
E01002905,Kensington and Chelsea 002B,17.9,0.2,17.2,8.6,67.7,24.6,29.6,60.6,0.5,25120.00 ,4.9,1
E01002906,Kensington and Chelsea 002C,15.7,0.21,12.8,14.6,49.6,24.9,32.6,57.6,0.5,28828.00 ,3.7,0
E01002907,Kensington and Chelsea 002D,29.4,0.19,16.9,1.8,90.9,30.1,20.9,61.9,0.4,24540.00 ,2.3,2
E01002876,Kensington and Chelsea 003A,11.6,0.17,7.8,19.8,28.9,13.7,50.5,42.2,0.8,40489.00 ,3.6,0
E01002877,Kensington and Chelsea 003B,26.1,0.21,18.5,8.2,68.5,21.1,29.5,58.7,0.5,24409.00 ,4.3,0
E01002878,Kensington and Chelsea 003C,10,0.17,11.4,16.2,40.3,14.3,50.1,61.6,0.4,33706.00 ,5.1,1
E01002908,Kensington and Chelsea 003D,11.6,0.22,8,21.1,29.1,17.1,44.7,50.5,0.6,34923.00 ,3.1,0
E01002909,Kensington and Chelsea 003E,9.3,0.19,8.1,14.1,44.9,13.1,51.1,59.4,0.5,36910.00 ,5.2,1
E01002829,Kensington and Chelsea 004A,12.4,0.19,13.6,9.8,51.8,11.1,46.4,63.8,0.4,34389.00 ,5.1,1
E01002830,Kensington and Chelsea 004B,13.5,0.2,16.4,10.8,57.5,16.7,43.6,66.4,0.4,30402.00 ,5,1
E01002831,Kensington and Chelsea 004C,12,0.22,15.2,10.5,50.6,15.1,44.9,66.6,0.4,33051.00 ,5.1,1
E01002832,Kensington and Chelsea 004D,16.3,0.21,14.5,8.8,45.7,14.3,45.7,63.2,0.4,33840.00 ,6.2,1
E01002856,Kensington and Chelsea 004E,10.2,0.24,14.5,8.3,46.5,13.3,49.1,66.6,0.4,31364.00 ,5.3,1
E01002870,Kensington and Chelsea 005A,16.3,0.22,19.2,2.7,79.4,25.9,28.3,70.9,0.3,22091.00 ,3.4,0
E01002872,Kensington and Chelsea 005B,12.4,0.14,8.6,5.5,72.5,29.1,35.6,58.1,0.5,34096.00 ,4.9,1
E01002879,Kensington and Chelsea 005C,18.1,0.23,24,6.9,60.6,19.9,34.1,70.6,0.3,25386.00 ,4.6,1
E01002880,Kensington and Chelsea 005D,23.3,0.22,25.9,5.7,78.4,25,25.4,71.2,0.3,20832.00 ,4,0
E01002881,Kensington and Chelsea 005E,20.4,0.21,15.5,9.4,68.8,24.7,28.9,57.9,0.5,26324.00 ,3.4,0
E01002882,Kensington and Chelsea 006A,7.8,0.15,6.3,12.2,29.4,9,58.7,53.9,0.6,47558.00 ,6.7,1
E01002883,Kensington and Chelsea 006B,5.5,0.18,3.3,14.5,3.5,7.8,61.1,50.2,0.6,57926.00 ,7,1
E01002884,Kensington and Chelsea 006C,3.8,0.3,3.7,10.1,16.3,4.7,57.1,67.7,0.4,43919.00 ,7.1,1
E01002885,Kensington and Chelsea 006D,4,0.28,3.6,13.7,7.7,4.4,64.1,72.9,0.3,41021.00 ,7,1
E01002886,Kensington and Chelsea 006E,3.8,0.16,3.2,18.4,10,5.5,62.4,48.9,0.7,59557.00 ,7,1
E01002833,Kensington and Chelsea 007A,7.1,0.2,3.8,16.8,17.2,6.5,65,57.3,0.5,47585.00 ,5.5,1
E01002871,Kensington and Chelsea 007B,5.1,0.14,1.7,16,6.5,5,62.4,37.2,0.9,74149.00 ,6.4,1
E01002873,Kensington and Chelsea 007C,9,0.16,5.3,16.3,25.5,12.1,57.4,47.6,0.7,48763.00 ,6.7,1
E01002874,Kensington and Chelsea 007D,10,0.25,7.8,15.1,30.4,9.1,59.3,54.5,0.6,41176.00 ,5.2,1
E01002875,Kensington and Chelsea 007E,5.4,0.18,3,14.1,15.6,5.5,62.3,44.1,0.8,57414.00 ,5.8,1
E01002824,Kensington and Chelsea 008A,3.5,0.17,1.9,15.6,7.5,3.5,62.9,49.3,0.7,61756.00 ,7,1
E01002825,Kensington and Chelsea 008B,5.1,0.17,4.3,13.5,6.8,6.1,56.7,43.9,0.8,67995.00 ,6.3,1
E01002826,Kensington and Chelsea 008C,4.5,0.21,1.2,13.2,3.6,4.6,62.3,57.4,0.5,56837.00 ,6.8,1
E01002827,Kensington and Chelsea 008D,3.1,0.18,1.1,17.1,1.6,2.9,68.2,45.4,0.8,65202.00 ,7.1,1
E01002828,Kensington and Chelsea 008E,4.8,0.16,2.4,11,17.7,5.7,62.2,52.1,0.6,64158.00 ,7,1
E01002864,Kensington and Chelsea 009A,7.2,0.12,2.3,17.4,4.5,6.9,58.5,32.2,1,72375.00 ,4.7,1
E01002866,Kensington and Chelsea 009B,10.6,0.21,6.1,21.2,20.9,7.5,55.5,56.1,0.6,37762.00 ,6.4,1
E01002867,Kensington and Chelsea 009C,10.4,0.23,7,16.2,14.9,8.5,56.6,55.8,0.5,35482.00 ,5.4,1
E01002868,Kensington and Chelsea 009D,3.9,0.14,1.5,14.2,3,4.4,62.7,28.6,1,79061.00 ,6,1
E01002869,Kensington and Chelsea 009E,7.7,0.19,4.8,15.4,19.3,8.4,62.4,57.3,0.5,39652.00 ,7.7,1
E01002887,Kensington and Chelsea 010A,2.2,0.28,1.4,12.1,2.9,3.8,67.8,58.9,0.5,55879.00 ,6.3,1
E01002889,Kensington and Chelsea 010B,2.9,0.23,2.2,12.8,3.1,5.3,54.7,49.2,0.7,67282.00 ,5.5,1
E01002890,Kensington and Chelsea 010C,4.3,0.11,1.1,13.5,3.4,5.1,61.6,30.2,1,88199.00 ,5.4,1
E01002891,Kensington and Chelsea 010D,5.7,0.21,3.3,12.5,7.7,4.7,60.1,49.9,0.6,65745.00 ,6.4,1
E01002892,Kensington and Chelsea 010E,3,0.27,2.8,15.7,3,2.4,60.1,53.9,0.6,61227.00 ,6.7,1
E01002813,Kensington and Chelsea 011A,2.3,0.17,1.3,15.4,5.1,4.7,66.7,49.1,0.7,69041.00 ,6.8,1
E01002815,Kensington and Chelsea 011B,5.6,0.23,1.1,16.6,7.3,7.4,57.9,63.4,0.4,40568.00 ,7,1
E01002816,Kensington and Chelsea 011C,3.3,0.22,0.8,10.8,1,5.2,63.7,60.8,0.5,61388.00 ,6.1,1
E01002817,Kensington and Chelsea 011D,7.1,0.16,1.8,14.4,2,4.7,64.1,39.4,0.8,63564.00 ,6.7,1
E01002865,Kensington and Chelsea 011E,7.4,0.13,1.1,16.5,2,5.8,57.7,43.6,0.9,77252.00 ,5.7,1
E01002818,Kensington and Chelsea 012A,3.2,0.24,2.4,9.6,4.6,5.3,56.5,62.4,0.5,59005.00 ,6.7,1
E01002819,Kensington and Chelsea 012B,2.7,0.24,1.3,10,2.1,4.4,59.7,54.4,0.6,63888.00 ,6.1,1
E01002859,Kensington and Chelsea 012C,4.6,0.19,0.7,12,5.5,5,61.9,50.6,0.6,67873.00 ,6.8,1
E01002860,Kensington and Chelsea 012D,4,0.2,0.9,12.5,1,4,63.4,43.4,0.8,81234.00 ,5.7,1
E01002863,Kensington and Chelsea 012E,2.8,0.15,1.2,9.7,2,6.2,56.9,42.2,0.8,68053.00 ,7,1
E01002812,Kensington and Chelsea 013A,5.7,0.25,3.1,10.7,6.4,6.3,56.6,53.4,0.6,49954.00 ,5.7,1
E01002834,Kensington and Chelsea 013B,2.9,0.25,2.4,15.6,11.8,4.1,59.8,56.5,0.5,55668.00 ,7,1
E01002839,Kensington and Chelsea 013C,4.5,0.28,5.7,11.8,19,7.4,58.3,69.2,0.4,39700.00 ,7,1
E01002850,Kensington and Chelsea 013D,6.6,0.34,4.1,14.5,12.9,6.6,50.5,64.2,0.4,37827.00 ,7,1
E01002888,Kensington and Chelsea 013E,2.1,0.34,2.1,14.4,4.3,2.7,64.1,64.2,0.4,49997.00 ,5.9,1
E01002821,Kensington and Chelsea 014A,4.9,0.23,1.5,12.4,9.4,4.3,60.2,50.7,0.7,66368.00 ,7.1,1
E01002823,Kensington and Chelsea 014B,10.3,0.15,5.5,6.1,53.4,17,39.1,58.2,0.5,37071.00 ,7,1
E01002858,Kensington and Chelsea 014C,10.5,0.3,8.9,8,24.3,14.2,44.8,74.4,0.3,28128.00 ,6.3,1
E01002861,Kensington and Chelsea 014D,6.2,0.16,2,8.7,17.6,8.8,59,50.3,0.7,63566.00 ,6.7,1
E01002862,Kensington and Chelsea 014E,9.7,0.23,5.7,4.5,42.7,17.5,43.6,74,0.3,29052.00 ,7,1
E01002814,Kensington and Chelsea 015A,12.4,0.22,5.6,10.1,30.4,9.2,48.9,59.2,0.5,35120.00 ,6.8,1
E01002847,Kensington and Chelsea 015B,4.8,0.27,3.4,20,9.6,6.2,60.3,64.2,0.5,40512.00 ,7,1
E01002848,Kensington and Chelsea 015C,6.3,0.26,5.5,10.3,28.1,8.7,54.7,73.5,0.3,34810.00 ,7,1
E01002851,Kensington and Chelsea 015D,8.1,0.22,8.8,7.6,46,14.1,42.7,75.7,0.3,30016.00 ,7,1
E01002820,Kensington and Chelsea 016A,2.7,0.2,1.4,11.7,3.9,4.8,65.3,57.8,0.6,57417.00 ,7,1
E01002822,Kensington and Chelsea 016B,3.4,0.11,0.2,11.4,6.6,5,64.9,41.1,0.8,68758.00 ,7.1,1
E01002835,Kensington and Chelsea 016C,3.1,0.25,2.2,15.8,1.5,2.2,67.4,52.4,0.6,61265.00 ,7,1
E01002836,Kensington and Chelsea 016D,4.5,0.24,1.6,14.3,7.5,3.1,63.6,58.6,0.5,57219.00 ,6.8,1
E01002837,Kensington and Chelsea 016E,2.4,0.22,0.9,11.6,5.9,3.7,64.7,52.4,0.7,61872.00 ,6.8,1
E01002846,Kensington and Chelsea 017A,7.7,0.27,5.6,14,22.4,8,52.2,74.5,0.3,35045.00 ,7,1
E01002849,Kensington and Chelsea 017B,6,0.23,3.1,21.7,13,6.3,59.6,61.4,0.5,43321.00 ,7,1
E01002893,Kensington and Chelsea 017C,5.9,0.26,4.4,19.3,20.3,8.3,55.3,59.8,0.5,38772.00 ,6.8,1
E01002894,Kensington and Chelsea 017D,5.4,0.23,3.3,19.1,8.2,3.3,65.7,61.1,0.5,47830.00 ,7,1
E01002898,Kensington and Chelsea 017E,4.7,0.15,1.8,20.2,11.4,4.7,57.6,47.9,0.7,61674.00 ,6.8,1
E01002899,Kensington and Chelsea 018A,8.1,0.16,4.2,8.9,30.6,12.3,47.3,61.2,0.5,39995.00 ,4.3,0
E01002900,Kensington and Chelsea 018B,4.3,0.16,1.4,18.5,1.3,4.6,59.7,30.8,1,72488.00 ,3.6,0
E01002901,Kensington and Chelsea 018C,4.8,0.08,0.9,15.5,21.2,18.3,46.9,45.7,0.8,52016.00 ,4.7,1
E01002902,Kensington and Chelsea 018D,5.6,0.19,3.3,10.5,13.6,7,58.2,55.4,0.5,54906.00 ,7,1
E01002903,Kensington and Chelsea 018E,3.6,0.13,1,15.3,0.7,4.3,66.6,28.8,1,92431.00 ,5.1,1
E01002844,Kensington and Chelsea 019A,4.4,0.17,2.2,11.3,11.9,7.5,57,42.8,0.8,59309.00 ,4.5,0
E01002845,Kensington and Chelsea 019B,4.5,0.19,5.2,14.5,32.2,8.8,52.6,58.9,0.6,40396.00 ,5.3,1
E01002910,Kensington and Chelsea 019C,5.6,0.12,2.3,11.9,23,10.2,51.2,50.5,0.7,49974.00 ,6.1,1
E01002911,Kensington and Chelsea 019D,4.4,0.19,1.6,19.9,3.8,3.8,60.1,34.8,0.9,68215.00 ,5.4,1
E01002914,Kensington and Chelsea 019E,5.5,0.18,1.1,11.6,2,5.7,57.9,49.4,0.7,61381.00 ,6.7,1
E01002838,Kensington and Chelsea 020A,5.2,0.45,1.2,12.6,5.4,2.1,41.4,45.4,0.7,60286.00 ,6.6,1
E01002895,Kensington and Chelsea 020B,5.6,0.14,1.6,18,3.1,4,63,39.3,0.9,71831.00 ,4.5,1
E01002896,Kensington and Chelsea 020C,3.8,0.19,1,21.1,4.7,3.8,65.7,45.9,0.7,59835.00 ,6.1,1
E01002897,Kensington and Chelsea 020D,7,0.23,2.3,17.5,11.2,6.4,56.5,54.9,0.6,40129.00 ,5.4,1
E01002912,Kensington and Chelsea 020E,7.7,0.22,3.5,14.2,20.1,7.9,58.1,50.9,0.6,51175.00 ,5,1
E01002840,Kensington and Chelsea 021A,17.5,0.18,7.6,7.2,51.5,23.5,33.9,64.4,0.4,29271.00 ,4.9,1
E01002841,Kensington and Chelsea 021B,9.8,0.21,6.7,20.9,29.5,12.2,41.2,52.4,0.6,36951.00 ,4.2,0
E01002842,Kensington and Chelsea 021C,21.6,0.18,10.9,5.4,80,24.2,24.4,70,0.3,20918.00 ,4.5,1
E01002843,Kensington and Chelsea 021D,18.7,0.18,14,7.5,71.8,18.6,33.9,64.9,0.4,28709.00 ,5.1,1
E01002913,Kensington and Chelsea 021E,7.4,0.24,5.3,18.5,15.5,9,52.9,47.1,0.7,42040.00 ,5.2,1
E01003015,Lambeth 002A,17.5,0.25,30.4,10,63,22.5,37.3,67.9,0.4,27174.00 ,6,1
E01003108,Lambeth 002B,17.1,0.2,32,13.1,55.8,19.9,39.1,70.2,0.3,28605.00 ,6.9,1
E01003110,Lambeth 002C,10.2,0.26,15.1,26.3,29.3,12.3,58.8,57.1,0.5,45666.00 ,6.9,1
E01003111,Lambeth 002D,22.4,0.23,42.2,10.2,73.5,28.5,24.2,73.8,0.3,23381.00 ,4.6,1
