lsoa,names,lone_parent_household,young_pepople_percent,ethnic_black,birth_not_uk ,tenure_mortgage_loan,tenure_social,no_qualifications,level_4_qualifications_above,no_cars,cars_per_household,median_annual_household_income,ptal_average,cluster_id
E01001754,Hackney 025C,13.8,0.28,21,42.3,11.6,42.8,17.6,44.2,68.7,0.4,29628,4.7,1
E01001755,Hackney 025D,20.9,0.3,28,40.6,8,63.4,23.7,32.2,68.5,0.3,26469,4.3,0
E01001773,Hackney 025E,16.2,0.29,25,45.2,7.2,54,19.1,40.9,69.9,0.4,27817,5.2,1
E01001776,Hackney 025F,14,0.28,30.6,48.5,8.2,68.8,28.2,31.4,71,0.3,23861,5.4,1
E01001779,Hackney 026A,12.5,0.28,22.9,46,10.2,52.5,19,44.2,70.7,0.3,29262,6,1
E01001781,Hackney 026B,21.9,0.35,23.7,44,5.7,69.2,26.4,29.8,75.2,0.3,22474,5.2,1
E01001782,Hackney 026C,12.1,0.29,12.2,39.3,19.9,33,15,51.4,62.5,0.4,39996,3.5,0
E01001783,Hackney 026D,22.6,0.31,34.6,47.1,7.2,73.5,24.6,30.6,74.7,0.3,23965,5.8,1
E01001777,Hackney 027B,15.9,0.34,23.7,44.6,9.5,45.3,16.2,43.8,77.5,0.3,27870,6,1
E01001780,Hackney 027D,14.4,0.29,23.5,43.2,10.3,61.1,18.6,41,76.2,0.3,28197,7.2,1
E01001784,Hackney 027E,16.6,0.44,22.1,45.4,12.9,58,16.7,32.4,73.7,0.3,26494,5.9,1
E01033706,Hackney 027F,7.6,0.46,8.6,51.2,12.2,17.5,5,65,72.3,0.3,47826,7.4,1
E01033708,Hackney 027G,1.3,0.46,4.6,50.7,12.6,4.8,3,67.5,76.2,0.3,54621,7.9,1
E01033709,Hackney 027H,13.1,0.38,22,46.1,6.2,57.2,12.3,49.4,79.7,0.2,33398,6.7,1
E01033711,Hackney 027I,6.2,0.54,10.4,50.9,17.4,25.9,7.2,58,77.4,0.3,39439,7,1
E01001798,Hackney 028A,20,0.22,31.5,45.9,13.3,49.6,26.1,28.1,66.7,0.4,24865,4.3,0
E01001828,Hackney 028B,24.5,0.21,39.1,45.6,11.7,58.2,23.1,29.5,63.4,0.4,25351,2.5,0
E01033702,Hackney 028C,14.4,0.22,22.1,39.6,15,40.4,19.1,38.1,57.9,0.5,27441,2.1,2
E01033705,Hackney 028D,21,0.28,37.7,39.5,12.2,53.5,18.2,34.3,62,0.4,27548,3.3,0
E01033710,Hackney 028E,18,0.28,24.8,45.5,12.6,20.3,15.1,43.5,67.5,0.4,28780,2.7,0
E01001722,Hackney 029A,16.3,0.21,29.5,39.8,11.4,53,24,33.9,66.7,0.4,27825,4.3,0
E01001728,Hackney 029B,16.4,0.28,19.7,33.8,8.5,43.9,37.7,16.8,63,0.4,29256,4,0
E01001822,Hackney 029C,20.5,0.24,28.9,46.5,10.8,55.5,31.2,21.5,70.8,0.3,24485,3.9,0
E01001827,Hackney 029D,20.9,0.2,27,37.1,8.9,58.1,32.8,18.4,63.1,0.4,26187,3.2,0
E01001874,Hammersmith and Fulham 001A,13.7,0.29,17.2,48.7,10.5,54.9,16.7,38.3,68.2,0.4,29289,5.5,1
E01001875,Hammersmith and Fulham 001B,25.8,0.22,20.6,40.3,14.6,53.6,31.5,24.1,58.3,0.5,25708,5.9,1
E01001876,Hammersmith and Fulham 001C,17.7,0.24,21.8,52.3,6.6,73.7,20.1,38.1,67.6,0.4,25948,3.5,0
E01001877,Hammersmith and Fulham 001D,14.6,0.2,27.1,50.1,10.6,30.5,19.2,33.2,61.4,0.5,28378,3.5,0
E01001878,Hammersmith and Fulham 001E,28.9,0.22,20.7,35.9,12.2,60.8,29.7,21.6,55.9,0.5,26366,5.9,1
E01001955,Hammersmith and Fulham 002A,27.3,0.24,27.6,42.5,12.5,60.8,29.6,24.6,60.4,0.5,24143,2.6,0
E01001957,Hammersmith and Fulham 002B,27.4,0.25,37.3,53.2,7.8,69.3,23.5,20.1,68.1,0.4,19457,3.1,0
E01001958,Hammersmith and Fulham 002C,30,0.22,40.2,51,6.5,78.8,24.6,20.3,67.3,0.4,18356,2.8,0
E01001961,Hammersmith and Fulham 002D,27,0.22,38.8,51.2,8.1,70,24.5,22.8,69.8,0.3,18995,2.8,0
E01001954,Hammersmith and Fulham 003A,16.3,0.22,18.1,39.3,21,41.3,18.5,42,53.3,0.6,32544,3.7,0
E01001956,Hammersmith and Fulham 003B,17.9,0.23,12.9,41.4,21.6,38.1,18.6,39.2,49.3,0.6,34811,3.6,0
E01001959,Hammersmith and Fulham 003C,20.2,0.25,20,41.3,16.2,47.3,24.7,27.4,45.7,0.7,28200,3.1,0
E01001960,Hammersmith and Fulham 003D,10.9,0.32,12.1,41.1,20.1,21.2,10.3,52.9,53.5,0.5,37966,4,0
E01001943,Hammersmith and Fulham 004A,9.8,0.34,14.1,49.1,11.8,30.7,12.8,47.3,67.1,0.4,32654,7.5,1
E01001944,Hammersmith and Fulham 004B,16.9,0.21,37.7,52,6.3,74.7,23.3,30.5,73.5,0.3,21313,5.8,1
E01001945,Hammersmith and Fulham 004C,11.8,0.25,13.2,41.3,19.4,32.1,12.5,48.3,55.6,0.5,35591,4.7,0
E01001946,Hammersmith and Fulham 004D,13,0.26,16.4,45.3,14.8,38.3,12.7,49.1,59.7,0.5,33811,4.8,0
E01001862,Hammersmith and Fulham 005A,12.9,0.25,19.3,43.8,17.1,46.6,16.4,41.5,60.6,0.5,31544,4.1,0
E01001940,Hammersmith and Fulham 005B,13.2,0.29,19.9,44.3,11.6,38.4,14.1,43.7,67.6,0.4,30269,4.6,0
E01001941,Hammersmith and Fulham 005C,7.9,0.37,10.7,50.9,13.1,20.6,9.6,56.5,66.9,0.4,35110,6.7,1
E01001942,Hammersmith and Fulham 005D,10.5,0.28,13.3,47.5,14.9,27.1,13.1,48.3,59.2,0.5,35855,4.6,1
E01001858,Hammersmith and Fulham 006A,12,0.3,13.1,41.7,17.5,36.6,13.8,40.9,58.9,0.5,32206,3.7,0
E01001860,Hammersmith and Fulham 006B,13.7,0.28,19.7,47,12.7,44.2,15.8,39.2,64.8,0.4,28033,4.1,0
E01001861,Hammersmith and Fulham 006C,13.9,0.23,22,46.3,19,39.9,15.3,42,58.4,0.5,32429,3.9,0
E01001863,Hammersmith and Fulham 006D,11.5,0.25,12.5,34.4,28.2,23.2,11.2,50.7,50.2,0.6,41718,3.7,0
E01001864,Hammersmith and Fulham 006E,8.3,0.23,12.2,40.4,15.6,29.7,15.7,46.4,58.6,0.5,36369,4,0
E01001852,Hammersmith and Fulham 007A,5.2,0.29,7.1,50,24.7,15.3,5.8,65,60.6,0.4,41949,6.9,1
E01001853,Hammersmith and Fulham 007B,6.8,0.23,6.5,41.8,24.6,16.7,6,64.3,52.1,0.6,48841,6.4,1
E01001854,Hammersmith and Fulham 007C,7.9,0.27,9.7,44.7,22.8,22,8.4,55.8,66.7,0.4,36158,7.2,1
E01001857,Hammersmith and Fulham 007D,14.5,0.27,23.5,49.3,9.7,52.7,18.7,38.7,75.7,0.3,25478,7.8,1
E01001859,Hammersmith and Fulham 008A,14.1,0.24,20,43.1,20.6,35,11.9,49.2,50.7,0.5,32568,2.9,0
E01001865,Hammersmith and Fulham 008B,10,0.23,7,42.6,27.3,18.4,10.2,50.4,42.2,0.7,44702,2.9,0
E01001927,Hammersmith and Fulham 008C,5.9,0.16,2.1,33,29.4,6.3,5.8,58.9,28.7,1,64996,3.1,0
E01001930,Hammersmith and Fulham 008D,9.3,0.2,10.5,37.3,17.9,37.4,14.5,49,54.2,0.6,36675,3.7,0
E01001895,Hammersmith and Fulham 009A,9.3,0.26,11,34.9,21.7,27.4,12,51.1,47.6,0.6,42330,4.1,0
E01001896,Hammersmith and Fulham 009B,10.6,0.35,14.3,41.9,17.8,35,12.6,44.5,59.2,0.5,34281,5.1,1
E01001897,Hammersmith and Fulham 009C,8.7,0.15,8,34,21.6,23.6,8.8,59.5,43.5,0.7,56020,4.8,1
E01001929,Hammersmith and Fulham 009D,5.9,0.16,3.4,30.9,27,11.4,7.6,64,37.7,0.7,60245,5.3,1
E01001851,Hammersmith and Fulham 010A,6.2,0.19,5.9,38,24.7,15.5,6.8,63.2,41.5,0.7,62626,5.7,1
E01001855,Hammersmith and Fulham 010B,6.4,0.26,5.8,42.2,23.9,17.1,8.3,61.6,58.5,0.5,47000,5.3,1
E01001856,Hammersmith and Fulham 010C,14.1,0.27,15.2,42.7,10.8,39.3,12.2,50.1,59.3,0.5,35666,6.4,1
E01001869,Hammersmith and Fulham 010D,4.9,0.16,3.7,42.4,16.9,16.2,7.3,63.5,40.1,0.8,68517,6.3,1
E01001873,Hammersmith and Fulham 010E,12.2,0.24,9.9,44.5,14.9,36.3,12.8,50.2,61.1,0.4,35267,4.4,0
E01001928,Hammersmith and Fulham 011A,11.8,0.16,11.5,36.5,19.8,28.7,12,51.6,49.7,0.6,45800,4.4,0
E01001931,Hammersmith and Fulham 011B,11.3,0.22,13.2,45.3,18.8,22.7,9.2,55.9,58.4,0.5,33145,4.6,1
