lsoa,names,ethnic_asian,ethnic_black,tenure_mortgage_loan,tenure_private,no_qualifications,bad_health,cars_per_household,median_annual_household_income,ptal_average,cluster_id
E01003622,Newham 023D,56,19.5,22.8,34.1,19.6,5.2,0.6,24973.00 ,3.6,0
E01003623,Newham 023E,50.6,19.9,26.7,29.8,24,6,0.7,23854.00 ,3,0
E01003523,Newham 024A,54.4,15.4,24.1,28.4,23.1,6.5,0.6,25272.00 ,4.9,1
E01003527,Newham 024B,42.9,14.1,40.9,25.3,18.6,4.5,0.8,33928.00 ,3.1,0
E01003537,Newham 024C,43,13.9,37.3,27.4,20.7,4.8,0.7,28655.00 ,3.1,0
E01003542,Newham 024D,36.4,23.4,18.9,21,25.6,6.8,0.6,23799.00 ,3.1,0
E01003624,Newham 024E,43.2,19.5,25.8,21.7,22.2,6.1,0.7,25680.00 ,3.7,0
E01003492,Newham 025A,60,13.7,30.6,37.3,23.1,5.5,0.7,26708.00 ,4.5,1
E01003493,Newham 025B,56.1,13.9,22.1,38.4,20.2,5.5,0.6,25826.00 ,3.9,0
E01003494,Newham 025C,47.3,13.5,39.7,30.5,19.9,4.3,0.7,31527.00 ,3.1,0
E01003495,Newham 025D,38.7,15.1,47.2,24.9,18,3.6,0.9,35506.00 ,2.7,0
E01003594,Newham 026A,39,22.5,22.8,28.1,21.6,7.2,0.6,25797.00 ,4.8,1
E01003595,Newham 026B,34.5,24.3,13.6,24.6,24.9,6.9,0.4,23924.00 ,5.1,1
E01003602,Newham 026C,35.7,25.7,26.9,33.4,21.1,5.4,0.7,25746.00 ,5,1
E01003607,Newham 026D,33.3,23.1,17.1,30.9,18.6,5.6,0.5,25122.00 ,5.4,1
E01003496,Newham 027A,24,33.2,12.5,28.8,15.4,5.1,0.5,26237.00 ,6.3,1
E01003498,Newham 027B,21.4,27.9,15.7,27.4,24.4,5.6,0.5,23921.00 ,4,0
E01003500,Newham 027C,16.2,30.7,20.1,22.1,23.7,5.1,0.6,25507.00 ,3.7,0
E01003593,Newham 027D,30.6,29.7,15.2,21.5,24.7,6.2,0.5,23685.00 ,4.7,1
E01003601,Newham 028A,29.4,25.8,23.7,23.3,26,6.2,0.6,25016.00 ,4.4,0
E01003603,Newham 028B,36.4,20.8,36.9,31.1,19.6,5.3,0.7,28120.00 ,3.2,0
E01003605,Newham 028C,47,23.2,22.7,31.4,24.9,5,0.5,23850.00 ,5,1
E01003608,Newham 028D,30.4,19.7,37,32.4,18.2,3.8,0.6,31159.00 ,4,0
E01003538,Newham 029A,36.2,26,24.5,29.9,25,5.7,0.7,24535.00 ,3.2,0
E01003539,Newham 029B,37.2,21.4,33.5,28,22.3,5.2,0.8,27845.00 ,1.9,2
E01003540,Newham 029C,29.6,25.5,22.4,20.3,26.2,6.5,0.7,24370.00 ,3.1,0
E01003541,Newham 029D,34.1,21.2,34,27.2,21.9,5,0.9,27428.00 ,1.7,2
E01003499,Newham 030A,23.7,27.9,12.3,22.4,30.7,8.4,0.5,21810.00 ,4.7,1
E01003501,Newham 030B,26,27,21.1,27.8,26.6,6.9,0.5,24011.00 ,4.2,0
E01003502,Newham 030C,21.7,33.8,17.3,28,24.5,6.6,0.5,23415.00 ,5.1,1
E01003503,Newham 030D,18.7,38.2,10.5,15.3,26.9,7.2,0.4,22963.00 ,6,1
E01003507,Newham 031A,21.7,26,21.2,29.6,27,6.5,0.6,25186.00 ,4.5,0
E01003508,Newham 031B,24.3,26,14.6,31,28.1,5.9,0.5,24015.00 ,4.2,0
E01003509,Newham 031C,11.4,21,10.2,66.8,27.1,7.1,0.5,24040.00 ,3.9,0
E01003604,Newham 031D,28.5,27,24.6,28.8,22.5,4.6,0.6,25675.00 ,4,0
E01003483,Newham 032A,34.6,22.9,15,18.5,25.2,8.4,0.9,25848.00 ,2.2,2
E01003484,Newham 032B,25.4,18.1,31.6,44.9,13.3,3.8,0.9,34122.00 ,2.8,0
E01003516,Newham 032C,14.7,34.2,12.3,17.8,29.4,7.8,0.6,23414.00 ,3.3,0
