ptal_poor_access,ptal_good_access
0.00 ,100.00 
48.50 ,2.50 
0.00 ,99.10 
6.30 ,0.00 
47.60 ,1.10 
24.30 ,0.00 
0.40 ,39.20 
0.00 ,0.00 
0.00 ,69.20 
0.00 ,63.70 
11.00 ,71.60 
0.00 ,100.00 
0.00 ,44.80 
0.00 ,29.20 
54.00 ,0.00 
10.30 ,0.00 
15.60 ,0.00 
1.00 ,11.20 
27.60 ,0.00 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,2.70 
0.00 ,17.00 
0.00 ,39.10 
9.70 ,18.40 
0.00 ,80.00 
0.00 ,67.20 
0.00 ,0.00 
0.00 ,16.60 
0.00 ,94.40 
0.00 ,100.00 
0.00 ,93.40 
0.00 ,82.40 
0.00 ,55.60 
0.00 ,30.00 
0.00 ,0.00 
0.00 ,6.00 
0.00 ,0.00 
0.00 ,2.70 
0.00 ,1.20 
0.00 ,1.90 
0.00 ,48.20 
0.00 ,74.40 
0.00 ,0.00 
0.00 ,54.70 
0.00 ,10.10 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,78.20 
3.80 ,47.10 
5.60 ,19.10 
0.00 ,79.80 
0.00 ,47.90 
0.00 ,79.20 
0.00 ,100.00 
0.00 ,96.10 
0.00 ,100.00 
0.00 ,98.10 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,78.40 
0.90 ,42.40 
0.00 ,100.00 
0.00 ,35.90 
0.00 ,100.00 
0.00 ,98.40 
0.00 ,100.00 
0.00 ,39.60 
0.00 ,37.40 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,67.30 
0.00 ,100.00 
0.00 ,21.60 
0.00 ,46.10 
0.70 ,8.50 
0.00 ,41.50 
0.00 ,46.60 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,0.00 
0.00 ,16.80 
0.00 ,87.20 
0.00 ,18.40 
1.80 ,21.80 
0.00 ,92.00 
0.00 ,60.50 
0.00 ,100.00 
0.00 ,98.90 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,90.10 
0.00 ,75.20 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,68.60 
0.00 ,61.90 
0.00 ,100.00 
0.00 ,83.60 
0.00 ,100.00 
0.00 ,2.70 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,93.50 
0.00 ,81.70 
0.00 ,100.00 
0.00 ,100.00 
0.00 ,100.00 
35.80 ,36.20 
0.00 ,96.90 
